Date,Open,High,Low,Close,Adj Close,Volume
2000-04-28,31.306767,31.491259,30.469460,30.653952,14.552141,10895936
2000-05-01,30.653952,32.144073,30.086285,31.562216,14.983315,16866880
2000-05-02,31.562216,32.243416,31.335150,31.349342,14.882259,11178673
2000-05-03,30.966167,30.966167,29.291553,30.086285,14.282654,15173982
2000-05-04,30.086285,30.199818,28.965145,30.001135,14.242229,12746057
2000-05-05,30.001135,31.519642,29.688919,31.051317,14.740782,10653276
2000-05-08,31.037125,31.037125,30.299160,30.810059,14.626245,7254269
2000-05-09,30.753292,30.753292,29.816645,30.157244,14.316336,8786420
2000-05-10,29.958561,29.958561,27.829815,28.667122,13.608944,16287313
2000-05-11,28.667122,29.830835,28.113647,29.717302,14.107489,14253986
2000-05-12,29.774069,31.448683,29.774069,29.873411,14.181597,13889776
2000-05-15,29.873411,30.540419,28.936762,30.426886,14.444343,12473449
2000-05-16,30.554609,32.129883,30.554609,31.448683,14.929416,20051852
2000-05-17,30.767485,30.767485,29.121252,29.532810,14.019902,24428107
2000-05-18,29.532810,30.114668,29.490236,29.901794,14.195073,14629648
2000-05-19,29.901794,29.915985,28.312330,28.652929,13.602206,14540687
2000-05-22,28.652929,28.823229,26.907356,27.872389,13.231667,16303168
2000-05-23,27.872389,28.369097,27.247955,27.404064,13.009341,11612908
2000-05-24,27.347298,27.347298,25.701067,26.935740,12.787010,22957612
2000-05-25,26.935740,27.687897,26.112625,26.396458,12.531002,16544507
2000-05-26,26.396458,27.233765,26.013283,26.822206,12.733125,10145935
2000-05-30,27.162807,28.326521,27.162807,28.269754,13.420306,10833400
2000-05-31,28.241371,28.241371,27.148615,27.290531,12.955443,16092656
2000-06-01,28.241371,30.639759,28.241371,30.483650,14.471292,31515905
2000-06-02,30.483650,33.009766,30.441076,32.271797,15.320170,25540117
2000-06-05,25.999092,28.156221,25.956516,27.318914,16.613558,24649188
2000-06-06,27.219572,27.219572,26.339691,26.793823,16.294226,20684267
2000-06-07,26.793823,28.269754,26.566757,27.829815,16.924250,23097218
2000-06-08,27.829815,29.021912,27.361490,28.581970,17.381659,22756349
2000-06-09,28.922569,29.617962,28.922569,29.064487,17.675087,18173546
2000-06-12,29.007721,29.007721,28.283945,28.610353,17.398920,14369371
2000-06-13,27.375681,27.375681,26.566757,27.020889,16.432318,38616474
2000-06-14,27.020889,27.148615,25.885559,25.885559,15.741889,22098832
2000-06-15,25.999092,27.233765,25.999092,26.566757,16.156141,18622754
2000-06-16,26.552567,26.552567,25.885559,25.899750,15.750504,17329300
2000-06-19,25.942326,27.134422,25.942326,26.751249,16.291189,12608212
2000-06-20,26.751249,27.347298,26.353884,26.453224,16.109690,11324005
2000-06-21,26.453224,27.233765,26.141008,27.134422,16.524532,11330171
2000-06-22,27.134422,27.616940,26.808016,26.921549,16.394899,15732850
2000-06-23,26.921549,27.247955,26.495798,26.595140,16.196123,10470510
2000-06-26,26.793823,27.659513,26.793823,27.247955,16.593679,9429404
2000-06-27,27.247955,27.758856,26.481607,26.481607,16.126982,12541271
2000-06-28,27.276340,28.354904,27.276340,28.110100,17.118713,20053174
2000-06-29,28.110100,28.142031,27.020889,27.191191,16.559118,20359692
2000-06-30,27.233765,28.379740,27.233765,28.354904,17.267801,18785262
2000-07-03,28.354904,28.369097,27.957539,28.212988,17.181366,4421176
2000-07-05,28.212988,28.241371,27.162807,27.162807,16.541822,12214054
2000-07-06,27.162807,27.645323,26.240351,26.878975,16.368971,19043777
2000-07-07,26.893166,28.383287,26.893166,28.326521,17.250507,15927066
2000-07-10,28.326521,28.340714,27.702089,28.085262,17.103592,9484014
2000-07-11,28.085262,28.823229,27.872389,28.752272,17.509783,15282320
2000-07-12,28.752272,29.575386,28.610353,29.149637,17.751776,16370549
2000-07-13,29.149637,30.696526,29.078678,30.625568,18.650602,16505311
2000-07-14,30.625568,30.923592,30.199818,30.384310,18.503681,14421338
2000-07-17,30.384310,30.810059,29.972752,30.604280,18.637646,10614521
2000-07-18,30.384310,30.384310,29.646343,29.745686,18.114763,10189975
2000-07-19,29.745686,30.057901,29.405087,29.476046,17.950546,10381109
