"State","Stats_Code","Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"Auckland","temperature",2020,"19.15","20.6","18.2","15.9","13.95",NA,NA,"12.15","12.8","15.2","16.9","18.1"
"Auckland","wind",2010,"4.3","3.95","4.6","3.35","4","4.25","3.4","4.4","5.9","4.45","3.9","4.25"
"Auckland","wind",2011,"4.45","4","3.45","3.7","4.25","4","5.2","3.45","4.45","4.6","5.9","4.75"
"Auckland","wind",2012,"4.4","3.65","4.4","3.7","3.85","3.9","3.55","3.55","5.6","5.9","4.6","4.5"
"Auckland","wind",2013,"4.8","3.8","3.4","3.7","3.4","3.6","2.9","4.2","5.25","5.35","3.9","4.35"
"Auckland","wind",2014,"4.95","4.2","3.8","3.9","3.25","3.8","4.65","4.7","4.9","5.3","5.7","4.4"
"Auckland","wind",2015,"3.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Auckland","wind",2016,"4.4","4.1","4.2","3.5","4.6","4","5.7","4.2","4.6","5.5","6.5","5.4"
"Auckland","wind",2017,"6.2","4","4.4","3.8","3.9","3.5","3.9","3.9","5.4","5.9","4.3","4.6"
"Auckland","wind",2018,"5.1","4.5","3.9","4.9","4.3","3.9","3.6","3.8","4.8","4.2","4.6","5.1"
"Auckland","wind",2019,"5.3","4.2","3.3","3.6","3.8","3.6","3.7","5.9","5.6","6.4","5.4","5.5"
"Auckland","wind",2020,"5.3","4.5","4.1","4","3.6","4.1","4.2","4.6","5.4","4.3","5.4","5.6"
"Bay_of_Plenty","rain",2010,"175.2","24.1","19.9","34","269.7","206.5","44.5","281.95","145.75","36.2","45","97.7"
"Bay_of_Plenty","rain",2011,"385.5","38.9","152.8","183.4","213.9","164.7","96.9","68.8","41.7","161.35","26.1","313.6"
"Bay_of_Plenty","rain",2012,"90.6","97.9","134.7","63.2",NA,"36.1","260.7","132.7","100.85","58.3","19.8","97.15"
"Bay_of_Plenty","rain",2013,"6.3",NA,"26.2","227.3","137.7","147.3","53.4","90.2","137.9","28.7","86.3","161.5"
"Bay_of_Plenty","rain",2014,"51.1","41","47.1","218.4","50.6","191.1",NA,NA,NA,"55.5","40.7","124.1"
"Bay_of_Plenty","rain",2015,"15.9","61.1","73","120","105.9","66.8","118.3","132.7","118.2","26.2","90.5","25.2"
"Bay_of_Plenty","rain",2016,"118.8","153","152","73.9","84.9",NA,"132.5","75.9","142.6",NA,"95.1","48.7"
