"","species","decimalLatitude","decimalLongitude","eventDate","year"
"8776","Asellus aquaticus",51.932493,5.801221,2008-09-11,2008
"8777","Asellus aquaticus",51.940947,5.672507,2005-05-19,2005
"8778","Asellus aquaticus",51.936684,5.430612,2008-05-14,2008
"8779","Asellus aquaticus",51.210698,3.859316,2000-05-19,2000
"8780","Asellus aquaticus",51.236465,3.985052,2002-09-26,2002
"8781","Asellus aquaticus",51.243911,3.475906,2004-07-05,2004
"8782","Asellus aquaticus",51.809488,5.667194,2009-08-13,2009
"8783","Asellus aquaticus",51.860768,5.650847,2003-05-20,2003
"8784","Asellus aquaticus",52.258857,5.97747,2003-09-30,2003
"8785","Asellus aquaticus",52.339731,5.924547,2003-09-18,2003
"8786","Asellus aquaticus",52.393961,6.009387,2009-03-31,2009
"8787","Asellus aquaticus",52.376182,6.006054,2004-03-25,2004
"8788","Asellus aquaticus",52.376182,6.006054,2009-09-16,2009
"8789","Asellus aquaticus",52.372957,6.069593,2009-04-14,2009
"8790","Asellus aquaticus",51.504381,3.885328,2007-05-14,2007
"8791","Asellus aquaticus",51.463396,3.609594,2006-03-21,2006
"8792","Asellus aquaticus",51.499198,3.916034,2009-05-19,2009
"8793","Asellus aquaticus",51.494649,3.743499,2004-05-03,2004
"8794","Asellus aquaticus",52.262461,5.753403,2010-04-06,2010
"8795","Asellus aquaticus",51.462588,3.914339,2007-09-17,2007
"8796","Asellus aquaticus",52.237124,5.547802,2010-09-13,2010
"8797","Asellus aquaticus",52.395988,6.027076,2009-09-10,2009
"8798","Asellus aquaticus",51.270452,4.112059,2009-07-06,2009
"8799","Asellus aquaticus",51.221948,3.937537,2001-05-28,2001
"8800","Asellus aquaticus",52.14564,5.538414,2000-05-03,2000
"8801","Asellus aquaticus",52.152691,6.032249,2009-09-24,2009
"8802","Asellus aquaticus",52.168205,5.240161,2002-10-22,2002
"8803","Asellus aquaticus",52.238374,5.957288,2002-05-14,2002
"8804","Asellus aquaticus",52.367845,6.035597,2004-03-23,2004
"8805","Asellus aquaticus",52.285232,5.911723,2007-09-18,2007
"8806","Asellus aquaticus",52.376182,6.006054,2009-04-06,2009
"8807","Asellus aquaticus",52.254561,6.089159,2005-09-08,2005
"8808","Asellus aquaticus",52.271924,6.105975,2007-09-10,2007
"8809","Asellus aquaticus",52.730795,6.799713,2008-06-05,2008
"8810","Asellus aquaticus",52.761506,6.839373,2009-05-06,2009
"8811","Asellus aquaticus",52.27544,5.553361,2010-04-14,2010
"8812","Asellus aquaticus",52.395416,6.036235,2009-09-14,2009
"8813","Asellus aquaticus",52.084239,5.54801,2008-04-14,2008
"8814","Asellus aquaticus",52.517368,6.420556,2007-04-26,2007
"8815","Asellus aquaticus",52.015734,5.587518,2010-05-19,2010
"8816","Asellus aquaticus",52.539156,6.476638,2003-09-24,2003
"8817","Asellus aquaticus",51.969385,5.802668,2006-09-18,2006
"8818","Asellus aquaticus",52.705088,7.03655,2006-05-15,2006
"8819","Asellus aquaticus",52.14241,5.403421,2000-10-30,2000
"8820","Asellus aquaticus",52.81992,5.780313,2000-05-03,2000
"8821","Asellus aquaticus",52.098459,5.402968,2008-09-15,2008
"8822","Asellus aquaticus",52.221154,5.24862,2002-10-02,2002
"8823","Asellus aquaticus",52.737475,6.652485,2008-09-29,2008
"8824","Asellus aquaticus",52.492941,5.744078,2010-06-28,2010
"8825","Asellus aquaticus",52.685451,6.733768,2008-04-23,2008
"8826","Asellus aquaticus",52.653335,5.778822,2000-08-22,2000
"8827","Asellus aquaticus",52.672028,6.798415,2008-09-24,2008
"8828","Asellus aquaticus",52.651688,6.77781,2008-09-22,2008
"8829","Asellus aquaticus",52.843751,6.78629,2001-09-03,2001
"8830","Asellus aquaticus",52.431465,5.393383,2009-04-27,2009
"8831","Asellus aquaticus",52.329406,5.424483,2010-05-31,2010
"8832","Asellus aquaticus",52.57858,6.668974,2006-09-20,2006
"8833","Asellus aquaticus",52.663947,6.645593,2000-09-18,2000
"8834","Asellus aquaticus",52.429909,5.75073,2005-04-20,2005
"8835","Asellus aquaticus",52.512617,6.459631,2003-09-22,2003
"8836","Asellus aquaticus",52.321203,4.900562,2009-04-16,2009
"8837","Asellus aquaticus",52.697258,7.044378,2001-04-05,2001
"8838","Asellus aquaticus",52.825318,5.699238,2008-06-02,2008
"8839","Asellus aquaticus",52.83915,5.749468,2003-05-12,2003
"8840","Asellus aquaticus",52.733398,5.860964,2001-05-30,2001
"8841","Asellus aquaticus",52.48901,5.830396,2003-09-01,2003
"8842","Asellus aquaticus",52.673044,5.61211,2010-06-10,2010
"8843","Asellus aquaticus",52.497682,5.503025,2010-05-31,2010
"8844","Asellus aquaticus",52.30672,4.996658,2006-06-15,2006
"8845","Asellus aquaticus",52.457356,5.409805,2009-04-27,2009
"8846","Asellus aquaticus",52.199484,4.935592,2009-04-21,2009
"8847","Asellus aquaticus",52.181859,4.931048,2006-08-22,2006
"8848","Asellus aquaticus",52.327608,5.4465,2000-09-06,2000
"8849","Asellus aquaticus",52.2711,5.450922,2004-06-02,2004
"8850","Asellus aquaticus",52.440851,5.476051,2002-08-26,2002
"8851","Asellus aquaticus",52.460934,5.720425,2010-04-28,2010
"8852","Asellus aquaticus",52.168596,5.086023,2008-06-24,2008
"8853","Asellus aquaticus",52.305374,5.101005,2010-05-18,2010
"8854","Asellus aquaticus",52.306841,4.987053,2009-05-06,2009
"8855","Asellus aquaticus",52.27033,5.089759,2008-09-01,2008
"8856","Asellus aquaticus",52.189334,4.877477,2006-08-22,2006
"8857","Asellus aquaticus",52.18162,5.108013,2006-06-15,2006
"8858","Asellus aquaticus",52.192144,5.005033,2008-09-02,2008
"8859","Asellus aquaticus",52.133531,5.061401,2010-05-26,2010
"8860","Asellus aquaticus",52.135183,5.201549,2004-06-02,2004
"8861","Asellus aquaticus",52.130801,5.131465,2010-08-23,2010
"8862","Asellus aquaticus",52.074226,5.174613,2010-09-07,2010
"8863","Asellus aquaticus",52.07787,4.975857,2010-07-27,2010
"8864","Asellus aquaticus",52.07876,4.991618,2010-07-27,2010
"8865","Asellus aquaticus",52.147884,4.928517,2007-07-23,2007
"8866","Asellus aquaticus",52.077638,5.149434,2009-05-12,2009
"8867","Asellus aquaticus",52.020685,4.799354,2007-07-12,2007
"8868","Asellus aquaticus",52.076592,4.810363,2010-06-21,2010
"8869","Asellus aquaticus",51.943064,4.297112,2002-07-22,2002
"8870","Asellus aquaticus",51.997208,4.988231,2002-07-01,2002
"8871","Asellus aquaticus",51.907386,4.303849,2008-07-07,2008
"8872","Asellus aquaticus",51.96642,4.925934,2010-07-05,2010
"8873","Asellus aquaticus",51.998277,5.27217,2006-06-20,2006
"8874","Asellus aquaticus",51.952835,4.252431,2009-06-17,2009
"8875","Asellus aquaticus",51.976543,4.844354,2006-10-05,2006
"8876","Asellus aquaticus",52.002137,4.292982,2008-06-16,2008
"8877","Asellus aquaticus",51.992461,4.466823,2009-05-14,2009
"8878","Asellus aquaticus",52.035207,4.36818,2009-07-23,2009
"8879","Asellus aquaticus",51.918812,4.383918,2009-06-08,2009
"8880","Asellus aquaticus",52.093032,4.331503,2010-07-14,2010
"8881","Asellus aquaticus",52.077622,4.257466,2004-07-19,2004
"8882","Asellus aquaticus",52.072168,4.362918,2007-06-05,2007
"8883","Asellus aquaticus",52.031072,4.206467,2007-07-23,2007
"8884","Asellus aquaticus",52.634062,4.875791,2001-08-09,2001
"8885","Asellus aquaticus",52.512333,4.946318,2008-04-07,2008
"8886","Asellus aquaticus",51.935876,4.271634,2008-06-10,2008
"8887","Asellus aquaticus",52.78049,4.727977,2000-05-28,2000
"8888","Asellus aquaticus",51.992004,4.162343,2007-07-16,2007
"8889","Asellus aquaticus",52.797419,4.698944,2000-05-20,2000
"8890","Asellus aquaticus",51.930965,4.303004,2008-09-15,2008
"8891","Asellus aquaticus",52.837702,4.720289,2002-08-19,2002
"8892","Asellus aquaticus",52.892176,4.745743,2003-08-04,2003
"8893","Asellus aquaticus",52.797911,4.722407,2007-05-14,2007
"8894","Asellus aquaticus",52.722895,4.904804,2009-07-23,2009
"8895","Asellus aquaticus",52.749254,4.756765,2002-08-28,2002
"8896","Asellus aquaticus",52.719214,4.703693,2000-05-26,2000
"8897","Asellus aquaticus",52.490215,4.699036,2002-05-13,2002
"8898","Asellus aquaticus",52.027026,4.373189,2008-06-30,2008
"8899","Asellus aquaticus",52.526704,4.670027,2007-06-25,2007
"8900","Asellus aquaticus",51.929868,4.386012,2001-08-23,2001
"8901","Asellus aquaticus",52.524642,4.763275,2000-05-29,2000
"8902","Asellus aquaticus",51.947246,4.394817,2001-08-23,2001
"8903","Asellus aquaticus",52.136241,4.330554,2007-07-05,2007
"8904","Asellus aquaticus",52.523378,4.817428,2008-06-02,2008
"8905","Asellus aquaticus",52.534052,4.777055,2000-05-18,2000
"8906","Asellus aquaticus",52.522143,4.99636,2008-04-09,2008
"8907","Asellus aquaticus",52.839591,4.707838,2000-05-20,2000
"8908","Asellus aquaticus",52.905802,4.723113,2002-08-19,2002
"8909","Asellus aquaticus",52.670334,5.18389,2002-08-19,2002
"8910","Asellus aquaticus",52.624818,5.014574,2000-08-10,2000
"8911","Asellus aquaticus",52.654799,4.987128,2000-05-18,2000
"8912","Asellus aquaticus",52.729521,5.280564,2007-07-11,2007
"8913","Asellus aquaticus",52.679342,5.134091,2010-04-19,2010
"8914","Asellus aquaticus",52.895828,4.979706,2007-05-07,2007
"8915","Asellus aquaticus",52.788349,4.823502,2006-08-21,2006
"8916","Asellus aquaticus",52.755619,4.790342,2009-07-20,2009
"8917","Asellus aquaticus",52.739985,4.646849,2004-09-14,2004
"8918","Asellus aquaticus",52.744358,4.825504,2009-07-20,2009
"8919","Asellus aquaticus",52.619001,5.008392,2001-07-02,2001
"8920","Asellus aquaticus",52.513207,4.696173,2004-06-14,2004
"8921","Asellus aquaticus",52.638392,4.799512,2008-06-11,2008
"8922","Asellus aquaticus",52.213895,4.604217,2010-04-27,2010
"8923","Asellus aquaticus",52.021234,4.746199,2010-06-16,2010
"8924","Asellus aquaticus",52.034567,4.733606,2010-06-21,2010
"8925","Asellus aquaticus",52.53538,4.808872,2002-09-04,2002
"8926","Asellus aquaticus",52.456087,5.112139,2006-09-11,2006
"8927","Asellus aquaticus",52.183039,4.425604,2004-07-12,2004
"8928","Asellus aquaticus",52.163909,4.80786,2000-07-17,2000
"8929","Asellus aquaticus",52.484473,4.838908,2003-05-26,2003
"8930","Asellus aquaticus",52.46988,5.027433,2008-05-28,2008
"8931","Asellus aquaticus",52.392901,4.985057,2004-08-29,2004
"8932","Asellus aquaticus",52.55343,4.978346,2001-04-26,2001
"8933","Asellus aquaticus",52.652921,5.191847,2001-05-01,2001
"8934","Asellus aquaticus",52.116174,4.555617,2010-05-25,2010
"8935","Asellus aquaticus",52.270314,4.768046,2009-07-02,2009
"8936","Asellus aquaticus",52.21223,4.410884,2006-07-03,2006
"8937","Asellus aquaticus",52.206823,4.424506,2004-06-21,2004
"8938","Asellus aquaticus",52.192996,4.416497,2004-08-23,2004
"8939","Asellus aquaticus",52.174845,4.483997,2005-07-25,2005
"8940","Asellus aquaticus",52.054713,4.458457,2000-07-10,2000
"8941","Asellus aquaticus",52.153792,4.815868,2000-07-20,2000
"8942","Asellus aquaticus",51.980834,4.632946,2008-06-18,2008
"8943","Asellus aquaticus",52.490035,5.053727,2000-05-11,2000
"8944","Asellus aquaticus",52.021384,4.60311,2000-08-21,2000
"8945","Asellus aquaticus",51.940974,4.434195,2008-07-14,2008
"8946","Asellus aquaticus",51.987957,4.542257,2005-09-07,2005
"8947","Asellus aquaticus",51.963479,4.664755,2010-07-26,2010
"8948","Asellus aquaticus",52.378837,5.681491,2008-09-22,2008
"8949","Asellus aquaticus",52.333764,5.592019,2008-09-23,2008
"8950","Asellus aquaticus",51.32969,5.732028,2008-05-22,2008
"8951","Asellus aquaticus",51.504206,5.653227,2008-09-10,2008
"8952","Asellus aquaticus",51.657476,5.404142,2009-08-19,2009
"8953","Asellus aquaticus",51.797108,5.512599,2000-08-21,2000
"8954","Asellus aquaticus",51.741008,5.742086,2008-09-08,2008
"8955","Asellus aquaticus",51.773176,5.398796,2010-09-28,2010
"8956","Asellus aquaticus",51.652178,5.873522,2005-08-03,2005
"8957","Asellus aquaticus",51.441132,5.693692,2010-08-04,2010
"8958","Asellus aquaticus",51.590308,6.008549,2007-08-21,2007
"8959","Asellus aquaticus",51.620501,4.708854,2010-06-22,2010
"8960","Asellus aquaticus",51.624502,4.705906,2009-06-22,2009
