procedure_reference,number_of_meetings
2021/0045(COD),1
2021/0048(NLE),1
2021/0060(COD),1
2021/0202(COD),1
2021/0340(COD),1
2021/0383(NLE),1
2021/0387(COD),1
2021/0429(APP),1
2021/0433(CNS),1
2021/2036(INI),1
2021/2040(INI),1
2021/2071(INI),1
2021/2107(DEC),1
2021/2109(DEC),1
2021/2133(DEC),1
2021/2158(DEC),1
2021/2164(INI),1
2021/2165(INI),1
2021/2176(INI),1
2021/2179(INI),1
2021/2188(INI),1
2021/2199(INI),1
2021/2203(INI),1
2021/2236(INI),1
2021/2249(INI),1
2022/0143(BUD),1
2022/0154(CNS),1
2022/0166(COD),1
2022/0210(COD),1
2022/0212(BUD),1
2022/0252M(NLE),1
2022/0391(COD),1
2022/0392(COD),1
2022/0401(APP),1
2022/0407(CNS),1
2022/0409(CNS),1
2022/0806(NLE),1
2022/2003(INI),1
2022/2025(INI),1
2022/2046(INI),1
2022/2048(INI),1
2022/2049(INI),1
2022/2081(DEC),1
2022/2086(DEC),1
2022/2172(INI),1
2022/2200(INI),1
2022/2202(INI),1
2022/2206(INI),1
2022/2592(RPS),1
2022/2593(RSP),1
2022/2594(DEA),1
2022/2681(RSP),1
2022/2735(RSP),1
2022/2836(RSP),1
2022/2898(RSP),1
2022/2925(RPS),1
2023/0005(COD),1
2023/0093(COD),1
2023/0130(COD),1
2023/0136(NLE),1
2023/0140(COD),1
2023/0142(NLE),1
2023/0144(COD),1
2023/0164(COD),1
2023/0207(COD),1
2023/0237(COD),1
2023/0260R(NLE),1
2023/0273(NLE),1
2023/0338(NLE),1
2023/0362(COD),1
2023/0367(BUD),1
2023/0393(COD),1
2023/0410(COD),1
2023/0438(COD),1
2023/0439(COD),1
2023/0455(COD),1
2023/2014(REG),1
2023/2016(INI),1
2023/2034(INI),1
2023/2045(INI),1
2023/2049(INI),1
2023/2050(INI),1
2023/2064(INI),1
2023/2078(INI),1
2023/2079(INI),1
2023/2083(INI),1
2023/2085(INI),1
2023/2086(INI),1
2023/2108(INI),1
2023/2113(INI),1
2023/2116(INI),1
2023/2126(INI),1
2023/2130(DEC),1
2023/2134(DEC),1
2023/2135(DEC),1
2023/2136(DEC),1
2023/2137(DEC),1
2023/2148(DEC),1
2023/2165(DEC),1
2023/2183(DEC),1
2023/2221(BUI),1
2023/2568(DEA),1
2023/2636(RSP),1
2023/2659(DEA),1
2023/2667(DEA),1
2023/2700(RPS),1
2023/2770(DEA),1
2023/2777(DEA),1
2023/2801(DEA),1
2023/2884(RSP),1
2023/2929(DEA),1
2023/2931(DEA),1
2023/2965(RPS),1
2023/3000(DEA),1
2024/0029(COD),1
2024/2008(ACI),1
2024/2504(RSP),1
2024/2538(DEA),1
2024/2594(DEA),1
2024/2695(RSP),1
2024/2698(RSP),1
